country,year,gdp_nominal,gdp_per_capita_nominal,gdp_ppp,gdp_per_capita_ppp,gdp_ppp_share,gdp_growth
AFG,2002,4.367,207.946,22.742,1082.924,0.042,NA
AFG,2003,4.553,201.051,25.206,1113.106,0.044,8.7
AFG,2004,5.146,218.461,26.058,1106.324,0.042,0.7
AFG,2005,6.167,252.618,30.054,1231.167,0.045,11.8
AFG,2006,6.925,272.189,32.642,1282.947,0.045,5.4
AFG,2007,8.556,330.295,37.999,1466.942,0.048,13.3
AFG,2008,10.297,389.63,40.227,1522.173,0.049,3.9
AFG,2009,12.066,440.607,48.807,1782.221,0.059,20.6
AFG,2010,15.325,543.652,53.568,1900.285,0.061,8.4
AFG,2011,17.89,611.642,58.216,1990.35,0.063,6.5
AFG,2012,20.293,666.089,67.583,2218.278,0.069,14
AFG,2013,20.17,639.473,72.639,2302.993,0.071,5.7
AFG,2014,20.616,630.136,75.898,2319.876,0.07,2.7
AFG,2015,20.057,594.213,77.358,2291.864,0.069,1
AFG,2016,18.02,520.267,79.784,2303.472,0.068,2.2
AFG,2017,18.883,529.773,83.362,2338.779,0.067,2.6
AFG,2018,18.336,499.799,89.369,2436.006,0.068,1.2
AFG,2019,18.876,499.762,97.801,2589.41,0.07,3.9
AFG,2020,20.136,516.664,100.898,2588.961,0.073,-2.4
AFG,2021,14.278,356.063,85.768,2138.87,0.055,-14.5
AFG,2022,14.501,352.456,86.149,2093.93,0.05,-6.2
AFG,2023,17.329,410.933,91.668,2173.745,0.05,2.7
ALB,1980,1.946,728.359,5.705,2135.051,0.043,2.7
ALB,1981,2.229,817.734,6.601,2421.278,0.045,5.7
ALB,1982,2.296,824.542,7.212,2590.134,0.046,2.9
ALB,1983,2.319,815.529,7.576,2664.062,0.045,1.1
ALB,1984,2.29,788.332,8.007,2756.803,0.044,2
ALB,1985,2.339,788.801,8.136,2744.312,0.042,-1.5
ALB,1986,2.587,855.724,8.765,2899.737,0.043,5.6
ALB,1987,2.566,832.245,8.91,2889.536,0.041,-0.8
ALB,1988,2.53,805.046,9.095,2894.43,0.039,-1.4
ALB,1989,2.779,860.784,10.378,3215.119,0.041,9.8
ALB,1990,2.221,675.736,9.69,2948.374,0.035,-10
ALB,1991,1.333,408.022,7.213,2207.901,0.025,-28
ALB,1992,0.843,259.75,6.846,2108.374,0.021,-7.2
ALB,1993,1.461,452.623,7.681,2380.023,0.022,9.6
ALB,1994,2.361,736.028,8.582,2675.722,0.024,9.4
ALB,1995,2.882,903.989,9.542,2993.381,0.025,8.9
ALB,1996,3.2,1009.967,10.601,3346.305,0.026,9.1
ALB,1997,2.225,706.623,9.606,3051.171,0.022,-10.9
ALB,1998,2.555,816.622,10.572,3379.092,0.024,8.8
ALB,1999,3.226,1037.599,12.103,3893.239,0.026,12.9
ALB,2000,3.488,1129.033,13.237,4285.216,0.026,6.9
ALB,2001,3.927,1283.237,14.658,4789.831,0.028,8.3
ALB,2002,4.356,1427.675,15.561,5100.209,0.028,4.5
ALB,2003,5.561,1829.632,16.745,5509.01,0.029,5.5
ALB,2004,7.177,2371.13,18.144,5994.12,0.029,5.5
ALB,2005,8.052,2673.773,19.747,6557.21,0.029,5.5
ALB,2006,8.896,2972.745,21.557,7203.713,0.03,5.9
ALB,2007,10.677,3595.053,23.466,7901.059,0.03,6
ALB,2008,12.881,4370.562,25.712,8723.954,0.031,7.5
ALB,2009,12.044,4114.09,26.739,9133.533,0.032,3.4
ALB,2010,11.937,4097.833,28.067,9634.94,0.032,3.7
ALB,2011,12.899,4439.89,29.375,10111.205,0.032,2.5
ALB,2012,12.324,4248.909,30.346,10462.732,0.031,1.4
ALB,2013,12.784,4415.6,31.172,10767.136,0.03,1
ALB,2014,13.246,4584.919,32.278,11172.166,0.03,1.8
ALB,2015,11.389,3953.611,33.3,11559.657,0.03,2.2
ALB,2016,11.862,4124.405,34.731,12075.634,0.03,3.3
ALB,2017,13.053,4542.76,36.697,12770.998,0.03,3.8
ALB,2018,15.157,5287.721,38.691,13498.153,0.029,4
ALB,2019,15.399,5395.101,41.723,14618.304,0.03,2.1
ALB,2020,15.192,5353.303,40.97,14437.1,0.029,-3.3
ALB,2021,17.984,6396.166,45.725,16262.599,0.029,8.9
ALB,2022,19.083,6870.21,51.364,18491.562,0.03,4.9
ALB,2023,22.822,8299.278,55.049,20018.303,0.03,3.5
ALB,2024,26.13,9598.191,58.196,21376.586,0.03,3.3
ALB,2025,27.993,10386.312,61.261,22729.717,0.03,3.4
ALB,2026,29.915,11211.431,64.583,24204.289,0.03,3.5
ALB,2027,31.853,11937.672,68.044,25501.31,0.03,3.5
ALB,2028,33.923,12713.803,71.694,26869.356,0.03,3.5
ALB,2029,36.137,13543.306,75.541,28311.117,0.03,3.5
DZA,1980,45.957,2462.085,77.897,4173.188,0.588,-5.4
DZA,1981,48.156,2502.13,87.825,4563.271,0.594,3
DZA,1982,48.599,2446.588,99.22,4994.956,0.629,6.4
DZA,1983,51.582,2514.256,108.673,5296.978,0.646,5.4
DZA,1984,55.906,2640.191,118.9,5615.132,0.653,5.6
DZA,1985,66.346,2988.545,129.529,5834.65,0.666,5.6
DZA,1986,66.783,2929.092,131.873,5783.897,0.643,-0.2
DZA,1987,68.698,2935.816,134.195,5734.819,0.615,-0.7
DZA,1988,56.07,2326.571,136.288,5655.088,0.578,-1.9
DZA,1989,57.041,2309.34,148.43,6009.325,0.585,4.8
DZA,1990,67.171,2684.465,155.217,6203.223,0.568,0.8
DZA,1991,50.65,1975.201,158.542,6182.644,0.548,-1.2
DZA,1992,53.414,2033.196,164.749,6271.14,0.5,1.6
DZA,1993,55.309,2056.556,165.108,6139.207,0.481,-2.1
DZA,1994,46.044,1674.567,167.116,6077.828,0.463,-0.9
DZA,1995,45.654,1626.997,177.184,6314.48,0.464,3.8
DZA,1996,50.945,1783.41,187.285,6556.209,0.464,3.8
DZA,1997,52.287,1800.196,192.61,6631.428,0.451,1.1
DZA,1998,52.297,1772.368,204.708,6937.617,0.462,5.1
DZA,1999,53.011,1769.091,214.248,7149.951,0.461,3.2
DZA,2000,59.418,1947.755,227.427,7455.167,0.455,3.8
DZA,2001,59.413,1919.41,239.525,7738.081,0.457,3
DZA,2002,61.516,1958.238,256.368,8160.932,0.469,5.4
DZA,2003,73.482,2304.603,278.431,8732.343,0.482,6.5
DZA,2004,91.914,2839.82,298.871,9234.105,0.48,4.5
DZA,2005,107.047,3258.153,324.768,9884.874,0.483,5.4
DZA,2006,123.084,3690.572,344.389,10326.201,0.473,2.9
DZA,2007,142.483,4208.244,364.81,10774.713,0.463,3.1
DZA,2008,180.384,5214.762,380.957,11013.174,0.462,2.5
DZA,2009,150.317,4262.144,387.737,10994.019,0.47,1.2
DZA,2010,177.785,4941.493,411.347,11433.29,0.469,4.8
DZA,2011,218.332,5946.345,432.398,11776.513,0.466,3
DZA,2012,227.144,6057.974,451.163,12032.628,0.462,2.4
DZA,2013,229.701,5997.896,470.758,12292.29,0.459,2.6
DZA,2014,238.943,6108.878,498.529,12745.527,0.462,4.1
DZA,2015,187.494,4691.686,519.064,12988.608,0.461,3.2
DZA,2016,180.764,4426.58,544.346,13330.04,0.465,3.9
DZA,2017,190.004,4554.15,562.537,13483.308,0.455,1.5
DZA,2018,194.507,4568.244,583.472,13703.603,0.443,1.4
DZA,2019,193.361,4452.856,601.471,13851.117,0.431,0.9
DZA,2020,164.774,3757.585,558.3,12731.754,0.401,-5
DZA,2021,185.884,4169.984,649.015,14559.497,0.418,3.8
DZA,2022,225.631,4981.822,720.43,15906.751,0.418,3.6
DZA,2023,240.064,5221.813,776.956,16900.136,0.422,4.1
DZA,2024,260.134,5579.128,826.136,17718.286,0.425,3.8
DZA,2025,264.27,5592.852,866.721,18342.736,0.424,3
DZA,2026,270.141,5645.511,904.9,18910.932,0.421,2.5
DZA,2027,275.081,5680.587,941.152,19435.323,0.417,2.1
DZA,2028,279.617,5705.771,978.759,19972.262,0.413,2.1
DZA,2029,284.352,5733.606,1017.851,20523.67,0.409,2.1
AGO,1980,8.73,1055.339,12.494,1510.407,0.094,2.4
AGO,1981,8.17,961.721,13.074,1538.971,0.088,-4.4
AGO,1982,8.17,936.935,13.882,1591.954,0.088,0
AGO,1983,8.514,951.5,15.031,1679.796,0.089,4.2
AGO,1984,9.025,982.624,16.508,1797.332,0.091,6
AGO,1985,11.119,1074.327,17.626,1703.032,0.091,3.5
AGO,1986,10.411,977.905,18.503,1738.043,0.09,2.9
AGO,1987,11.9,1089.96,19.735,1807.637,0.09,4.1
AGO,1988,12.909,1151.19,21.684,1933.704,0.092,6.1
AGO,1989,15.017,1303.41,22.543,1956.704,0.089,0
AGO,1990,16.529,1397.414,22.58,1908.939,0.083,-3.5
AGO,1991,16.022,1310.218,26.165,2139.614,0.091,12.1
AGO,1992,12.354,977.93,29.812,2359.976,0.091,11.4
AGO,1993,8.966,687.658,33.867,2597.482,0.099,11
AGO,1994,6.529,484.971,38.226,2839.506,0.106,10.5
AGO,1995,8.148,585.668,43.071,3095.937,0.113,10.4
AGO,1996,10.51,730.731,48.776,3391.127,0.121,11.2
AGO,1997,12.344,830.042,53.226,3579.153,0.125,7.3
AGO,1998,10.464,680.922,56.349,3666.939,0.127,4.7
AGO,1999,9.895,623.486,58.393,3679.306,0.126,2.2
AGO,2000,12.646,771.405,61.54,3753.81,0.123,3.1
AGO,2001,12.378,730.652,65.573,3870.505,0.125,4.2
AGO,2002,17.312,988.318,75.692,4321.256,0.139,13.7
AGO,2003,20.342,1122.365,79.88,4407.323,0.138,3.5
AGO,2004,26.998,1438.272,91.395,4868.928,0.147,11.4
AGO,2005,41.397,2128.257,107.599,5531.821,0.16,14.2
AGO,2006,58.654,2909.07,124.05,6152.564,0.17,11.8
AGO,2007,73.038,3493.014,143.974,6885.535,0.183,13
AGO,2008,98.79,4554.334,162.582,7495.186,0.197,10.8
AGO,2009,81.705,3630.103,166.856,7413.311,0.202,2
AGO,2010,95.547,4089.461,177.818,7610.721,0.203,5.3
AGO,2011,125.552,5175.442,188.003,7749.77,0.202,3.6
AGO,2012,143.573,5699.986,207.781,8249.101,0.213,8.5
AGO,2013,153.761,5880.641,221.629,8476.286,0.216,4.9
AGO,2014,164.448,6061.865,235.997,8699.296,0.219,4.7
AGO,2015,131.661,4680.829,239.998,8532.432,0.213,0.8
AGO,2016,114.764,3936.361,238.16,8168.812,0.203,-1.7
AGO,2017,139.835,4628.964,242.085,8013.784,0.196,-0.1
AGO,2018,114.189,3651.304,259.089,8284.622,0.197,-0.6
AGO,2019,94.671,2926.143,277.552,8578.72,0.199,-0.2
AGO,2020,66.521,1989.939,261.836,7832.731,0.188,-4
AGO,2021,84.375,2445.388,306.036,8869.641,0.197,2.1
AGO,2022,141.941,3974.666,341.69,9568.094,0.198,4.2
AGO,2023,109.678,2967.384,357.562,9673.949,0.194,1
AGO,2024,113.286,2961.34,374.937,9801.001,0.193,2.4
AGO,2025,118.409,2990.597,392.395,9910.508,0.192,2.8
AGO,2026,124.169,3030.019,412.748,10072.03,0.192,3.3
AGO,2027,133.22,3140.94,434.308,10239.754,0.192,3.3
AGO,2028,141.459,3222.419,457.135,10413.459,0.193,3.4
AGO,2029,150.679,3316.369,481.331,10593.855,0.194,3.4
ATG,1980,0.132,1935.022,0.234,3425.449,0.002,8.2
ATG,1981,0.149,2199.721,0.266,3923.34,0.002,3.8
ATG,1982,0.166,2479.206,0.283,4210.56,0.002,-0.1
ATG,1983,0.185,2793.833,0.309,4677.424,0.002,5.4
ATG,1984,0.212,3259.644,0.353,5426.306,0.002,10.2
ATG,1985,0.246,3848.686,0.392,6128.351,0.002,7.6
ATG,1986,0.298,4730.432,0.446,7093.21,0.002,11.5
ATG,1987,0.347,5611.664,0.488,7887.494,0.002,6.6
ATG,1988,0.411,6756.454,0.531,8721.335,0.002,5.2
ATG,1989,0.455,7544.287,0.581,9627.261,0.002,5.3
ATG,1990,0.479,7942.365,0.621,10298.445,0.002,3
ATG,1991,0.504,8299.523,0.656,10790.348,0.002,2.2
ATG,1992,0.525,8502.543,0.678,10984.248,0.002,1.2
ATG,1993,0.566,8956.336,0.731,11576.621,0.002,5.3
ATG,1994,0.625,9647.035,0.797,12294.397,0.002,6.7
ATG,1995,0.616,9257.311,0.778,11688.965,0.002,-4.4
ATG,1996,0.679,9930.047,0.844,12346.657,0.002,6.6
ATG,1997,0.734,10442.982,0.906,12882.321,0.002,5.5
ATG,1998,0.79,10931.597,0.959,13280.522,0.002,4.7
ATG,1999,0.836,11285.796,1.009,13630.748,0.002,3.7
ATG,2000,0.901,11912.539,1.096,14497.861,0.002,6.2
ATG,2001,0.878,11413.194,1.07,13912.847,0.002,-4.5
