"","GeoFIPS","GeoName","Region","income_2025"
"1","00000","United States",NA,76393
"2","01000","Alabama",5,59677
"3","02000","Alaska *",8,80175
"4","04000","Arizona",6,68283
"5","05000","Arkansas",5,61752
"6","06000","California",8,91116
"7","08000","Colorado",7,86181
"8","09000","Connecticut",1,98879
"9","10000","Delaware",2,71357
"10","11000","District of Columbia",2,116121
"11","12000","Florida",5,76440
"12","13000","Georgia",5,65382
"13","15000","Hawaii *",8,76592
"14","16000","Idaho",7,64846
"15","17000","Illinois",3,77772
"16","18000","Indiana",3,66292
"17","19000","Iowa",4,68326
"18","20000","Kansas",4,69510
"19","21000","Kentucky",5,60673
"20","22000","Louisiana",5,63940
"21","23000","Maine",1,71662
"22","24000","Maryland",2,81834
"23","25000","Massachusetts",1,97456
"24","26000","Michigan",3,66556
"25","27000","Minnesota",4,78538
"26","28000","Mississippi",5,54531
"27","29000","Missouri",4,67587
"28","30000","Montana",7,72340
"29","31000","Nebraska",4,75858
"30","32000","Nevada",8,73156
"31","33000","New Hampshire",1,86959
"32","34000","New Jersey",2,88223
"33","35000","New Mexico",6,61645
"34","36000","New York",2,88847
"35","37000","North Carolina",5,68511
"36","38000","North Dakota",4,75157
"37","39000","Ohio",3,67291
"38","40000","Oklahoma",6,66660
"39","41000","Oregon",8,73678
"40","42000","Pennsylvania",2,74231
"41","44000","Rhode Island",1,73992
"42","45000","South Carolina",5,63179
"43","46000","South Dakota",4,79297
"44","47000","Tennessee",5,69131
"45","48000","Texas",6,72364
"46","49000","Utah",7,69991
"47","50000","Vermont",1,74580
"48","51000","Virginia",5,80291
"49","53000","Washington",8,89396
"50","54000","West Virginia",5,57932
"51","55000","Wisconsin",3,70570
"52","56000","Wyoming",7,89806
"53","91000","New England",1,91818
"54","92000","Mideast",2,84099
"55","93000","Great Lakes",3,70195
"56","94000","Plains",4,72375
"57","95000","Southeast",5,69022
"58","96000","Southwest",6,70666
"59","97000","Rocky Mountain",7,77596
"60","98000","Far West *",8,88031
